Falsos Positivos,Palavra encontrada
"produto excelente, a entrega foi uma decepção demorou do dobro do combinado",entrega foi
"Produto , bom e preço em conto, e entrega do produto foi rapido.",não recebi
"minha história com cadeiras de escritório é meio traumática. havia comprado duas recentemente, ambas de plástico. a primeira era mais básica - não tinha essa função mais avançada de reclinar -; ela quebrou na base mesmo. depois comprei uma que tinha boas críticas na internet - mais parecida com esta da sun house -; era um conforto só, um absurdo, mas o assento e as costas eram partes separadas, e o que as ligava era o braço, de plástico. provavelmente ainda estaria funcionando se eu nunca me tivesse reclinado nela. mas me reclinei e, claro, o braço de plástico arrebentou, e as costas ficaram dependuradas, inúteis. virou um banquinho, basicamente. finalmente vi esta cadeira da sun house. decidira que, pra mim, cadeira teria de ser de aço. ademais, vendo o que acontecera com a segunda, a experiência me tinha ensinado que AS COSTAS E O ASSENTO TÊM DE SER UMA PEÇA SÓ. e é exatamente isso que você vai encontrar nesta cadeira. uma peça só, de aço maciço (inclusive cuidado pra não bater de canela!), simplesmente inquebrável. passa muita confiança.

acontece, porém, que, tendo usado a segunda cadeira por dois dias, tenho que dizer que, se aquela fosse toda de aço, seria uma cadeira bem melhor do que esta. não se engane: esta é boa. as almofadas são boas, ela passa muita confiança, e é bem bonita pra botar num escritório. mas não é aquela orgia de conforto. os braços são duros, e eu gostaria que eles fossem mais largos e mais separados. uso uns travesseiros porque meu braços não ficam bem apoiados neles.

também gostaria que as costas fossem um pouco mais altas. aí daria pra jogar a cabeça pra trás e repousá-la. ela termina na nuca.

mas o problema real é o seguinte: esta cadeira parece ter sido feita só para usar reclinada. reclinada, ela é perfeita, estável. mas, quando você ativa o pino da esquerda para travá-la na vertical, dá pra sentir exatamente o efeito de ela ser um retângulo apoiado em cima de um ponto: parece um pouco que você está sentado num pião. ela fica caindo um pouco para a direita. eu nunca senti isso com cadeira nenhuma. parece um erro bem de principiante. dependendo de quem você é, vai achar isso mais ou menos insuportável. como eu disse, a segunda cadeira era bem melhor neste sentido. mas, no fim das contas, estou feliz de estar numa cadeira inquebrável.

por último, bizarramente a alavanca de ajuste de altura fica à direita e à frente, em vez de ficar pra trás. sucede que, se você quiser botar a perna direita dobrada, pra baixo da cadeira, você vai encontrar um obstáculo.

então é isso. uma cadeira em que não economizaram nos materiais, graças a Deus, mas com umas falhas estranhíssimas de projeto. comprei pela internet e tal. se fosse obrigado a sentar nesta exata cadeira todos os dias da minha vida, daria pra aguentar. mas, se algum dia o dinheiro não for problema, eu prefiro ir a um shopping e testar todas as cadeiras em busca de uma projetada por um engenheiro mais esperto. é, digamos, um conforto de quatro estrelas que você sabe que não vai precisar substituir por um bom tempo. ",atendimento
Ótimo atendimento e um produto de boa qualidade,atendimento
Superou minhas espectativas pela rapidez e qualidade de impressão assim como a comodidade wifi !,bem embalado
"Gostei muito do farol de milha
mais o kit xênon  que comprei para vir junto veio com reator queimado
e agora queimou outro
e nada de entrar em contato comigo para troca ou solução
obrigado",rapidez e qualidade
"O mocassim veio com defeito de fabricação, devolvi e até hoje nao recebi outro para repor ou pelo menos o vale correspondente ao valor",correio
OBRIGADO POR MANDAR O KIT. MAS TENHO DUVIDAS SE VOU CONTINUAR COMPRANDO NO SAIT. POR COMPRAR UM KIT. XENON E UM KIT FAROL DE MILHA DO FOX PORQUE ATE O MOMENTO NAO CHEGOU O KIT FAROL DE MILHA SENDO QUE FOI PAGO OS DOIS PRODUTOS JUNTOS NO MESMO BANCO E MESMO DIA E HORA TO VENDO QUE VOU  TER QUE ENTRAR COM UMA AÇAO NO PROCOM  CONTRA ESSE SAITE PARA RECEBER OS VALORES DE VALTA SENDO QUE JA MANDARAO AMAIS DE QUINZE DIAS O PAGAMENTO QUE FOI DETEQUITADO PELO MESMO OBRIGADO AGUARDO RESPOSTA O MAIS RAPIDO POSSIVEL OK.  ,entrar em contato
"PRODUTO ÓTIMO, RECOMENTO A TODOS, SÓ TIVE PROBLEMAS COM O CORREIO, QUE DISSERAM QUE ENTREGOU O PRODUTO, E TIVE QUE ABRIR UMA RECLAMAÇÃO E O CORREIO SÓ FOI ENTREGAR 10 DIAS DEPOIS. MAIS RECEBI EM PERFEITO ESTADO.
PROBLEMA RESOLVIDO.",entrega rápida
"Lindo, entrega rapida",facilidade de compra
Muito bom. Bem embalado! Aprovado.,vendedor
"o processo de compra foi excelente, muito eficiente e rápido. Recomendo a compra mas não o produto, Fico receoso de em futuras compras comprar produtos ruins como este.",foi rápido
eu achei otimo connectpart são de mais de bom no atendimento feliz 2016,processo de compra
facilidade de compra,na internet
otimo produto e otimo vendedor,pagamento
